en_text,fr_text
(Laughter),"Si vous achetez quelque chose sur le web, vous êtes censé mettre votre adresse et vous êtes supposé choisir de quel pays vous êtes, ok? Il y a 200 pays dans le monde. On aime à penser de l'Internet que c'est un village global Je suis désolé, ça ne l'est pas encore. C'est principalement, les États-Unis, l'Europe et le Japon. Donc pourquoi les États-Unis sont-ils dans les ""U""? (Rires) Vous devez faire défiler, comme sept écrans complets pour y arriver. Maintenant ce ne serait pas cohérent de mettre les États-Unis en premier,"
"When I was offered the Times
column six years ago, the deal was like this: you'll be sent the coolest, hottest,
slickest new gadgets. Every week, it'll arrive at your door. You get to try them out,
play with them, evaluate them until the novelty wears out,
before you have to send them back, and you'll get paid for it. You can think about it, if you want. So, I've always been a technology nut,
and I absolutely love it. The job, though, came with one
small downside, and that is, they intended to publish my email address
at the end of every column. And what I've noticed is -- first of all,
you get an incredible amount of email.","mais ça serait intelligent. Celui-là a été abordé avant, mais pourquoi est-ce que vous éteignez un PC Windows en cliquant sur un bouton appelé ""Démarrer?"" (Rires) Voici un autre de mes favoris: vous avez une imprimante. La plupart du temps, vous voulez imprimer seulement une copie de votre document, dans l'ordre, sur cette imprimante. Alors pourquoi est-ce que vous voyez chaque fois ça? C'est comme un cockpit de 747. (Rires) Et un des boutons en bas, vous le remarquerez, n'est pas ""Imprimer."" (Rires) (Applaudissements) Maintenant, je ne dis pas qu'Apple est la seule compagnie qui a adopté le culte de la simplicité. Palm aussi, spécialement dans l'ancien temps, ils étaient formidable pour ça. Je suis allé parler chez Palm quand ils étaient populaires dans les années 90, et après la présentation, j'ai rencontré un des employés. Il a dit, ""jolie présentation."" Et j'ai dit, ""Merci, quel est votre rôle ici?"" Il a dit, ""Je suis un compteur de taps."" Étonné, ""Vous êtes quoi?"" Il continue, ""En fait, Jeff Hawkins, le président, dit, 'Si n'importe quelle tâche sur le Palm Pilot prend plus de trois taps du stylet, c'est trop long, et doit être repensé.' Donc je suis le compteur de taps."" Je vais donc vous montrer un exemple d'une compagnie qui n'a pas de compteur de taps."
"If you ever are feeling lonely, get a New York Times column, because you will get hundreds
and hundreds and hundreds of emails. And the email I'm getting a lot
today is about frustration. People are feeling like things -- Ok, I just had an alarm
come up on my screen. Lucky you can't see it. People are feeling overwhelmed. They're feeling like
it's too much technology, too fast. It may be good technology, but I feel like there's not enough
of a support structure. There's not enough help. There's not enough thought
put into the design of it to make it easy and enjoyable to use. One time I wrote a column about my efforts
to reach Dell Technical Support, and within 12 hours,
there were 700 messages from readers on the feedback boards
on the Times website, from users saying, """"Me too, and here's my tale of woe."" I call it ""software rage."" And man, let me tell you, whoever figures out how to make money
off of this frustration will -- Oh, how did that
get up there? Just kidding.","Ceci est Microsoft Word, OK. Pour créer un nouveau document vierge dans Word -- ça peut arriver! (Rires) Vous allez dans le menu Fichier et vous choisissez ""Nouveau."" Maintenant, Qu'est-ce qui se passe quand vous choisissez ""nouveau?"" Est-ce que vous créez un nouveau document vierge? Non pas du tout. À l'opposé de l'écran, une fenêtre apparait, et quelque part dans ces liens -- et bien sûr pas tout en haut -- quelque part dans ces liens il y a un bouton qui vous crée un nouveau document. Ok, ceci est donc une compagnie qui ne compte pas les taps. Vous savez, je ne veux pas seulement être là pour plaisanter sur Microsoft. Public: Allez-y. David Pogue: Oui je le veux. (Rires) (Applaudissements)"
(Laughter),"La chanson de Bill Gates! J'ai depuis toujours été un fou d'informatique et j'ai écrit le tout premier DOS. J'ai mis mon logiciel et IBM ensemble; J'ai eu les profits et ils ont eu les pertes. (Rires) J'écris le code qui fait tourner le monde entier. Je reçois des droits d’auteurs de tout le monde. Des fois, c'est pourri mais la presse est impressionnée. Vous achetez la boite, je vends le code."
"Ok, so why is the problem accelerating? And part of the problem is, ironically, because the industry
has put so much thought into making things easier to use. I'll show you what I mean. This is what the computer
interface used to look like, DOS. Over the years, it's gotten easier to use. This is the original Mac operating system. Reagan was President.
Madonna was still a brunette. And the entire operating system -- this is the good part -- the entire
operating system fit in 211 k. You couldn't put
the Mac OS X logo in 211 k!","Toutes les compagnies font de la recherche pour Microsoft. Vous ne pouvez plus garder une bonne idée secrète de nos jours. Même Windows est une copie. On est vaguement basés sur le Mac. C'est si gros, c'est si lent. Vous n'avez nulle part où aller. Je ne le fais pas pour la reconnaissance; J'écris le code qui plaît au monde aujourd'hui. D'une médiocrité absolue, Nous sommes entrés dans un mode de domination de la planète Vous n'aurez pas le choix, vous achèterez mon code. Je suis Bill Gates et j'écris le code. (Applaudissements)"
(Laughter),"Mais en fait, je pense qu'il y a vraiment deux Microsofts. Il y a l'ancien, responsable de Windows et Office. Ils meurent d'envie de tout balancer et recommencer à zéro mais ils ne peuvent pas. Ils sont coincés, car il y a tellement d'ajouts et de choses maison qui les condamnent à rester sur le vieux châssis de 1982. Mais il y a aussi un nouveau Microsoft qui est vraiment en train de faire des design d'interfaces bons et simples. J'aime le PC Media Center. J'ai aimé la montre Microsoft SPOT. La montre sans fil a été un terrible échec dans le marché, mais ce n'était pas qu'elle n'était pas simplement et élégamment faite. Mettons les choses en perspective: payeriez-vous 10 dollars par mois pour avoir une montre qui doit être rechargée chaque nuit, comme votre mobile, et qui s'arrête de fonctionner quand vous quittez votre code postal? (Rires)"
"So the irony is, that as these
things became easier to use, a less technical, broader audience
was coming into contact with this equipment for the first time.","Les signes peuvent indiquer que la période de complexité va seulement empirer. Reste-t-il encore un espoir? Les écrans deviennent plus petits. Les gens sont en train d'éliminer les manuels dans les boites. Les choses sortent à une cadence plus rapide. C'est marrant -- quand Steve Jobs est revenu à Apple en 1997, après être parti pendant 12 ans, c'était l'exposition Macworld. Il arriva sur la scène dans son col roulé noir et ses jeans, et il a fait quelque chose comme ça. La foule était en délire, mais Je me dis, où est ce que j'ai vu ça avant? Je venais de voir le film ""Evita"" -- (Rires) -- avec Madonna, et je me suis dit, vous savez quoi, je dois en faire une sur Steve Jobs. Ce ne sera pas facile. Vous pensez que je suis bizarre. Quand j'essaie d'expliquer pourquoi je suis revenu après avoir dit à la presse que le futur d'Apple est noir. Vous ne me croirez pas. Tout ce que vous voyez c'est un ado qui a démarré dans un garage avec rien qu'un pote nommé Woz. (Rires) Essayez de rimer avec garage! (Rires)"
"I once had the distinct privilege
of sitting in on the Apple call center for a day. The guy had a duplicate headset
for me to listen to. And the calls that --
you know how they say, ""Your call may be recorded
for quality assurance?"" Uh-uh. Your call may be recorded so that they can collect
the funniest dumb user stories and pass them around on a CD.","Ne pleure pas pour moi, Cupertino. (Rires) La vérité c'est, que je ne t'ai jamais laissé. (Rires) Je connais les ficelles maintenant, je sais quels sont les trucs. J'ai fait fortune grâce à Pixar. (Rires) Ne pleure pas pour moi, Cupertino. J'ai toujours une vision très claire Je porte toujours des sandales pendant n'importe quel temps. C'est juste que ces jours, c'est du cuir Gucci. (Rires) (Applaudissements)"
(Laughter),"Merci. Donc Steve Jobs a toujours cru dans la simplicité l'élégance et la beauté. Et à dire vrai pendant des années j'étais un peu déprimé. C'était évident que les Américains n'y accordaient aucun prix, parce que le Mac avait trois pour cent de part de marché, Windows avait 95 pour cent de part de marché. Les gens ne pensaient pas que ça valait la peine de payer pour ça.. Donc j'étais un peu déprimé, et puis j'ai entendu la présentation d’Al Gore, et j'ai réalisé que je ne savais pas ce que déprimé veut dire. (Rires) Mais en fait il s’est avéré que j'avais tort, d'accord ? Car l'iPod est arrivé, Et il a violé toutes les règles du bon sens. D'autres produits coûtaient moins. D'autres produits avaient plus d'options. Ils avaient des enregistreurs de voix, et des récepteurs FM. Les autres produits étaient supportés par Microsoft avec un standard ouvert, pas le standard fermé d'Apple. Mais l'iPod gagna! C'est celui qu'ils voulaient. La leçon était: la simplicité vend. Et il y a des signes qui indiquent que l'industrie est en train de recevoir le message. Voici une petite compagnie qui a très bien réussi tout en simplicité et en élégance. Le Sonos -- c'est en train de prendre.."
Which they do.,"J'ai juste deux exemples. Physiquement, une pensée vraiment sympa, et élégante qui est arrivé récemment. Quand vous avez un appareil numérique, comment transférez-vous les photos à votre ordinateur? Bon, soit vous trimbalez partout un câble USB, soit vous achetez un lecteur de cartes et le trimbalez partout. L'un ou l'autre, vous allez le perdre. Ce que je fais, c'est que je sors la carte mémoire, et je la plie en deux, révélant ainsi un port USB. Je le branche dans l'ordinateur, transfère les photos, et le remets en place dans l'appareil. Comme ça je n'ai rien à perdre. Voici un autre exemple. Chris, tu es la source de toute la puissance. Voudrais-tu être ma prise électrique?"
(Laughter),Chris Anderson: Oui bien sûr.
And I have a copy.,"DP: Tiens ça et ne le lâche pas. Vous avez peut-être vu ceci: c'est le nouveau portable Apple. Voici le cordon d'alimentation. On le branche comme ça. Et je suis sûr que vous avez tous déjà fait ça à un moment ou un autre, ou un de vos enfants. Vous marchez, et Je m'apprête à le balancer par terre. Je n'en ai rien à faire. C'est un prêt. On y va. Whoa! C'est magnétique. Ça ne fait pas tomber l'ordinateur par terre. (Applaudissements)"
(Laughter),"Dans mon tout dernier exemple -- Je fais une grande partie de mon travail en utilisant un programme de reconnaissance vocale, et vous devez rester tranquille parce que le programme est nerveux. Ok. La reconnaissance vocale est super pour écrire des emails très rapidement. Point. Comme, j'en reçois des centaines par jour. Point. Il n'écrit pas seulement ce que je dicte. Point. J'utilise aussi une des fonctions appelée macros. Point. Corriger ""dissuadé "". Pas seulement. Ok, ce n'est pas une situation idéale, car il reçoit de l'écho de la salle,et ce genre de truc. Mais l'important c'est que je peux répondre aux gens très rapidement en disant un mot court qu'il développe en quelque chose de beaucoup plus long. Si quelqu'un m'écrit un mail de fan, je dirai ""Merci pour ça."" (Rires) (Applaudissements) Au contraire, si quelqu'un m'écrit un mail méchant -- ce qui arrive tous les jours -- Je dis, ""Va chier."" (Rires) (Applaudissements) Donc ceci est mon petit secret personnel. Ne le dites à personne. (Rires)"
"It's in your gift bag. No, no. With your voices on it!","Donc le principal est que c'est une histoire très intéressante. Ceci est la 8e version du logiciel, et vous savez ce qu'ils ont mis dans cette 8e version? Pas de nouvelles fonctions. Ce n'est jamais encore arrivé dans le monde du logiciel! La compagnie n'a pas mis de nouvelles fonctions. Ils ont juste dit, ""Nous allons faire fonctionner le programme correctement."" Bien. Parce que pendant des années les personnes ont acheté ce logiciel, l'ont essayé -- 95 pour cent de précision était tout ce qu'ils recevaient, ce qui veut dire qu'un mot sur 20 est faux -- et il le rangeait dans leurs tiroirs. Et la compagnie était fatiguée de ça, donc ils ont dit, ""Dans cette version, vous n'allons rien faire d'autre que nous assurer qu'elle est sacrément précise."""
"So, some of the stories are just
so classic, and yet so understandable. A woman called Apple to complain
that her mouse was squeaking. Making a squeaking noise. And the technician said,","Et c'est ce qu'ils ont fait. Cette façon de bien faire les choses est en train de s'étendre. Donc mon dernier conseil pour ceux qui sont des consommateurs de cette technologie: Souvenez-vous, si ça ne fonctionne pas ce n'est pas forcément de votre faute, OK? ça peut être le design de la chose que vous utilisez. Soyez sensibles dans la vie au bon et au mauvais design. Et si vous faites partie des gens qui créent ces choses, facile est dur. Souffrez par avance pour votre public. Comptez les taps. Et souvenez-vous, la chose la plus dure n'est pas de savoir quelle fonction inclure -- c'est de décider ce qu'il faut laisser de côté. Et le plus important de tout, votre motivation est: la simplicité vend."
"""Well, ma'am, what do you mean
your mouse is squeaking?""",CA: Bravo
"She says, ""All I can tell you
is that it squeaks louder, the faster I move it across the screen.""",DP: Merci beaucoup.
(Laughter),CA: Encore bravo! (Applaudissements)
"Over the past couple of days, as I've been preparing for my speech, I've become more and more nervous
about what I'm going to say and about being on the same stage
as all these fascinating people. Being on the same stage as Al Gore,
who was the first person I ever voted for. And --","Vous savez, ces derniers jours, en préparant mon intervention, je suis devenue de plus en plus nerveuse sur ce que j'allais dire, et de me retrouver sur la même scène que tous ces gens fascinants. Être sur la même scène qu'Al Gore, la première personne pour qui j'ai voté. Et -- (Rires) et ma nervosité augmentait, je ne savais pas que Chris était assis sur scène, c'est encore plus stressant. Puis j'ai commencé à penser à ma famille. J'ai commencé à penser à mon père et à mon grand-père et mon arrière grand-père, et j'ai compris que j'avais tous ces Ted du même sang que moi -- (Rires) -- que je devais -- penser que j'étais dans mon élément."
(Laughter),"Donc -- qui suis-je ? Chris a dit que j'avais monté une société avec mon mari. Nous employons environ 125 personnes dans le monde. Si vous avez lu le livre, vous avez vu cela, qui m'a horrifiée. (Rires) Et comme je voulais vous impressionner tous avec des diapos, puisque j'ai vu les excellentes présentations d'hier avec des graphiques, j'ai fait un graphique qui bouge, et je parle de ce qui me compose. (Rires) Donc, à côté de ce truc monstrueux, voilà ma diapo scientifique. Là, ce sont des maths, et là c'est de la science, c'est de la génétique. Là c'est ma grand-mère, c'est d'elle que je tiens ma bouche. (Rires)"
"So I was getting pretty nervous and, you know, I didn't know
that Chris sits on the stage, and that's more nerve-racking. But then I started thinking
about my family. I started thinking about my father
and my grandfather and my great-grandfather, and I realized that I had all of these Teds
going through my bloodstream --","Donc, je suis une blogueuse, ce qui veut probablement dire des choses différentes pour beaucoup d'entre vous. Vous avez peut-être entendu parler du verrou Kryptonite et du scandale que ça a fait, quand un blogueur a dit comment casser, ou forcer, un verrou Kryptonite à l'aide d'un stylo bille, et ça a fait tache d'huile. Kryptonite a dû corriger le verrou, ils ont dû régler le problème pour éviter d'inquiéter trop de consommateurs. Vous avez peut-être entendu parler du Rathergate, qui a découlé du fait que des blogueurs ont compris que le ""th"" dans ""111th"" n'a pas été tapé sur une vieille machine mais sur Word. Donc, les blogueurs ont révélé cela, ou ont travaillé dur pour le faire. Vous savez, les blogs sont effrayants. Voici ce qu'on y voit. En voyant cela, on a forcément peur -- en étant vulgaire -- on fait dans son froc, parce que ça n'a pas l'air rassurant. Mais certains blogs changent notre manière de lire les infos et de consommer les médias, et ce sont d'excellents exemples. Ces gens touchent des milliers, voire des millions de lecteurs, c'est d'une importance capitale. Pendant l'ouragan, MNSBC a mis des posts sur l'ouragan sur son blog, en le mettant souvent à jour. Cela a été rendu possible à cause du caractère facile des outils de blog."
(Laughter),"J'ai aussi un ami, qui a un blog sur le numérique -- sur un PDR, un enregistreur personnel. Il gagne assez d'argent, rien qu'en diffusant des pubs, pour faire vivre sa famille dans l'Oregon. Il ne fait plus que ça maintenant, et c'est quelque chose que les blogs ont rendu possible. Autre exemple : Interplast. C'est une organisation formidable de gens et de docteurs qui vont dans les pays en développement pour offrir de la chirurgie réparatrice à ceux qui en ont besoin. Des enfants avec un bec de lièvre en bénéficient, et ils racontent leur histoire. C'est merveilleux. Je ne suis pas si généreuse. (Rires) Je parle de moi. C'est ce que je suis : une blogueuse. J'ai toujours décidé que j'allais être une experte en une seule chose, et je suis experte sur cette personne, donc j'écris sur elle."
"that I had to consider this ""my element.""","Et -- pour résumer l'histoire de mon blog : il a commencé en 2001. J'avais 23 ans. Mon travail ne me plaisait pas, parce que j'étais designer, mais ça ne me stimulait pas. J'avais fait des études de lettres à la fac. Elles ne me servaient pas, mais l'écriture me manquait. Donc, j'ai commencé à tenir un blog et à inventer des choses comme ces petites histoires. Ceci est une illustration sur mon expérience en colo quand j'avais 11 ans, et comment je suis allée à une colo YMCA -- chrétienne -- et en fait à la fin, j'avais fait en sorte que mes amis me détestent tellement que je me suis cachée dans une couchette. Ils ne pouvaient pas me trouver. Ils ont commencé à faire des recherches, et j'ai entendu des gens dire qu'ils auraient aimé que je me sois suicidée, que j'aie sauté de Bible Peak."
"So, who am I? Chris kind of mentioned I started
a company with my husband. We have about 125 people internationally. If you looked in the book, you saw this ...","Donc -- vous pouvez rire, ça va. C'est ce qui m'a faite -- c'est moi. C'est ce qui m'est arrivé. Quand j'ai commencé mon blog j'avais vraiment cet unique objectif, je voulais -- j'avais compris, je disais que je ne serais jamais célèbre mondialement mais que je pourrais être célèbre sur Internet. Je me suis fixé un objectif. Je me suis dit que j'allais gagner un prix, parce que je n'avais jamais gagné de prix. J'ai dit, je vais gagner ce prix -- le prix du blog ""South by Southwest"". Et j'ai gagné. J'ai atteint des gens, j'avais des dizaines de milliers de lecteurs chaque jour sur ma vie."
(Laughter),"Puis j'ai écrit un post sur un banjo. J'ai écrit un post sur le fait de vouloir acheter un banjo -- un banjo à 300 dollars, ce qui est beaucoup. Je ne joue pas de musique, je n'y connais rien. J'aime la musique, et j'aime les banjos, je crois que j'ai entendu Steve Martin en jouer. Je me suis dit, je peux le faire. Et j'ai dit -- j'ai dit à mon mari ""Ben, je peux acheter un banjo ?"" Et lui ""Non""."
which I really was appalled by.,"Et mon mari -- voici mon mari, qui est très sexy -- il a gagné un prix parce qu'il est sexy -- (Rires) -- il m'a -- il m'a dit ""Tu ne peux pas acheter un banjo, c'est -- tu es comme ton père, qui achète -- qui collectionne les instruments."" Alors j'ai écrit un post sur le fait que j'étais en colère contre lui, c'était vraiment un tyran, il ne me laissait pas acheter ce banjo. Ceux qui me connaissaient ont compris ma plaisanterie. C'est Mena, c'est comme ça que je plaisante avec les gens. Parce que la plaisanterie, c'est qu'il n'est pas un tyran : il est tellement aimant et tellement adorable qu'il me laisse le travestir et mettre des photos de lui sur mon blog. Et -- (Rires) -- et s'il savait que je suis en train de montrer ça, je l'ai mis aujourd'hui, il me tuerait."
(Laughter),"Mais en fait, j'ai écrit cela, mes amis l'ont lu, et ils se sont dit, oh, cette Mena, elle a écrit un post sur le fait de vouloir une bêtise et elle fait l'idiote. Mais j'ai reçu des e-mails de gens qui disaient: ""Mon Dieu, ton mari est un vrai connard. Combien d'argent il dépense en bière chaque année? Tu pourrais prendre cet argent et acheter ton banjo. Pourquoi tu n'ouvres pas un compte séparé?"" Je suis avec lui depuis que j'ai 17 ans. Nous n'avons jamais eu de compte séparé. Ils disaient ""Prends un compte séparé -- dépense ton argent, dépense son argent. C'est tout."" Des gens m'ont dit ""Quitte-le"". Et -- je me disais, mais qui sont ces gens, et pourquoi lisent-ils cela? Et j'ai compris : je ne veux pas toucher ces gens. Je ne veux pas écrire pour ce grand public. J'ai donc commencé à tuer mon blog à petit feu. C'était, je ne veux plus écrire cela, et à petit feu, à tout petit feu --"
"And because I wanted
to impress you all with slides, since I saw the great presentations
yesterday with graphs, I made a graph that moves, and I talk about the makeup of me.","Je racontais des histoires personnelles de temps en temps. J'en ai écrit une, et j'en parle à cause d'Einstein aujourd'hui. Je vais avoir les larmes aux yeux, parce que c'était mon premier oiseau, et il est mort il y a deux ans. J'ai décidé de casser le ""Je n'écris pas vraiment sur ma vie publique"" parce que je voulais lui offrir un petit mémorial. Mais enfin. Ce sont ces histoires personnelles. Vous savez, vous lisez les blogs politiques, ou sur les médias, les potins, etc. Ils ont leur place, mais c'est davantage les histoires personnelles qui m'intéressent, et c'est -- vous savez, c'est ce que je suis."
